TRANSACTION_ID,AGENCYNUM,SALE_DATE,AIRPORT_FROM,AIRPORT_TO,TOTAL_PRICE
0001,00000102,2018-08-19,KRK,RRG,1761.980000
0002,00000124,2018-08-6,ABV,ZAG,3352.250000
0003,00000105,2018-08-2,GYD,LCK,1542.730000
0004,00000229,2018-08-17,SEA,MNL,847.360000
0005,00000116,2018-08-12,CBM,NAS,3491.820000
0006,00000188,2018-08-10,RST,LTS,1790.580000
0007,00000115,2018-08-25,BHM,SYX,1661.360000
0008,00000100,2018-08-4,FOC,CVG,1316.120000
0009,00000106,2018-08-19,TIK,YYJ,2134.950000
0010,00000125,2018-08-22,MLA,RST,547.800000
0011,00000103,2018-08-17,HAK,DSA,3238.880000
0012,00000061,2018-08-14,BEL,BKK,932.730000
0013,00000103,2018-08-22,LLA,DVO,2854.950000
0014,00000101,2018-08-5,KTW,DTW,509.570000
0015,00000120,2018-08-19,TBS,LTS,735.960000
0016,00000116,2018-08-20,VIE,SVX,1898.890000
0017,00000118,2018-08-25,KUF,LOS,1332.910000
0018,00000304,2018-08-11,CPR,ORK,1171.260000
0019,00000102,2018-08-18,HKT,RDU,3556.140000
0020,00000297,2018-08-3,JAN,IKA,2643.860000
0021,00000125,2018-08-8,GCM,PER,3614.070000
0022,00000116,2018-08-3,MDW,VKO,1111.810000
0023,00000310,2018-08-12,PDX,BOS,767.460000
0024,00000093,2018-08-22,ODS,OKA,1637.780000
0025,00000115,2018-08-12,SAW,LUN,3944.800000
0026,00000123,2018-08-17,LIM,JLN,3412.900000
0027,00000100,2018-08-19,DLM,CCU,3359.080000
0028,00000108,2018-08-26,VKO,PNH,926.600000
0029,00000295,2018-08-22,BLV,PER,2947.080000
0030,00000117,2018-08-9,TAS,SFB,1934.880000
0031,00000055,2018-08-22,AMS,JLN,1959.100000
0032,00000123,2018-08-15,BNA,MSQ,3332.280000
0033,00000104,2018-08-8,SAN,LKZ,2495.960000
0034,00000117,2018-08-6,SOF,SDQ,769.230000
0035,00000109,2018-08-20,TSF,LUN,2308.210000
0036,00000224,2018-08-23,HAK,MKE,1814.700000
0037,00000304,2018-08-1,DKR,CSX,677.000000
0038,00000118,2018-08-11,MHD,HRB,3944.530000
0039,00000101,2018-08-18,CAN,TXL,2155.840000
0040,00000188,2018-08-6,JFK,MVD,1465.090000
0041,00000222,2018-08-22,STN,WUH,2449.730000
0042,00000061,2018-08-16,BNA,FFO,2712.970000
0043,00000254,2018-08-4,BSB,TGD,3384.950000
0044,00000224,2018-08-7,BGW,AUS,3896.050000
0045,00000125,2018-08-1,MDW,TSN,1619.250000
0046,00000122,2018-08-2,BWI,PHF,1844.880000
0047,00000109,2018-08-22,MDW,MCT,3146.850000
0048,00000107,2018-08-11,BUF,TFS,2307.070000
0049,00000294,2018-08-13,CGN,SVG,3617.080000
0050,00000188,2018-08-17,DLM,QUO,3664.940000
0051,00000123,2018-08-12,SGF,YOW,3000.290000
0052,00000188,2018-08-20,SFO,BCN,1824.520000
0053,00000294,2018-08-20,ACA,LTX,2463.000000
0054,00000130,2018-08-4,JLN,URC,3641.360000
0055,00000114,2018-08-6,AFW,LPL,1424.520000
